plate_map_name	well_position	broad_sample
OAB74.75.76.47.A	A01	ccsbBroad304_13233
OAB74.75.76.47.A	A02	ccsbBroad304_01201
OAB74.75.76.47.A	A03	ccsbBroad304_02850
OAB74.75.76.47.A	A04	ccsbBroad304_04374
OAB74.75.76.47.A	A05	ccsbBroad304_12723
OAB74.75.76.47.A	A06	ccsbBroad304_09253
OAB74.75.76.47.A	A07	ccsbBroad304_12041
OAB74.75.76.47.A	A08	ccsbBroad304_15266
OAB74.75.76.47.A	A09	ccsbBroad304_13100
OAB74.75.76.47.A	A10	ccsbBroad304_10274
OAB74.75.76.47.A	A11	ccsbBroad304_10368
OAB74.75.76.47.A	A12	ccsbBroad304_06082
OAB74.75.76.47.A	A13	ccsbBroad304_03557
OAB74.75.76.47.A	A14	ccsbBroad304_07645
OAB74.75.76.47.A	A15	ccsbBroad304_11861
OAB74.75.76.47.A	A16	ccsbBroad304_04968
OAB74.75.76.47.A	A17	ccsbBroad304_01106
OAB74.75.76.47.A	A18	ccsbBroad304_06412
OAB74.75.76.47.A	A19	ccsbBroad304_10367
OAB74.75.76.47.A	A20	ccsbBroad304_04480
OAB74.75.76.47.A	A21	ccsbBroad304_02170
OAB74.75.76.47.A	A22	ccsbBroad304_11503
OAB74.75.76.47.A	A23	ccsbBroad304_07800
OAB74.75.76.47.A	A24	
OAB74.75.76.47.A	B01	ccsbBroad304_11113
OAB74.75.76.47.A	B02	ccsbBroad304_15552
OAB74.75.76.47.A	B03	ccsbBroad304_99994
OAB74.75.76.47.A	B04	ccsbBroad304_04513
OAB74.75.76.47.A	B05	ccsbBroad304_01587
OAB74.75.76.47.A	B06	ccsbBroad304_09750
OAB74.75.76.47.A	B07	ccsbBroad304_10432
OAB74.75.76.47.A	B08	ccsbBroad304_16138
OAB74.75.76.47.A	B09	ccsbBroad304_10728
OAB74.75.76.47.A	B10	ccsbBroad304_10073
OAB74.75.76.47.A	B11	ccsbBroad304_05589
OAB74.75.76.47.A	B12	BAD CONSTRUCT
OAB74.75.76.47.A	B13	ccsbBroad304_14245
OAB74.75.76.47.A	B14	ccsbBroad304_09376
OAB74.75.76.47.A	B15	
OAB74.75.76.47.A	B16	ccsbBroad304_13796
OAB74.75.76.47.A	B17	ccsbBroad304_06138
OAB74.75.76.47.A	B18	ccsbBroad304_99985
OAB74.75.76.47.A	B19	ccsbBroad304_00381
OAB74.75.76.47.A	B20	ccsbBroad304_11486
OAB74.75.76.47.A	B21	ccsbBroad304_15892
OAB74.75.76.47.A	B22	ccsbBroad304_00358
OAB74.75.76.47.A	B23	ccsbBroad304_13079
OAB74.75.76.47.A	B24	ccsbBroad304_15550
OAB74.75.76.47.A	C01	ccsbBroad304_06658
OAB74.75.76.47.A	C02	ccsbBroad304_13534
OAB74.75.76.47.A	C03	ccsbBroad304_12816
OAB74.75.76.47.A	C04	ccsbBroad304_07366
OAB74.75.76.47.A	C05	ccsbBroad304_10061
OAB74.75.76.47.A	C06	ccsbBroad304_01447
OAB74.75.76.47.A	C07	ccsbBroad304_11682
OAB74.75.76.47.A	C08	ccsbBroad304_09889
OAB74.75.76.47.A	C09	ccsbBroad304_11672
OAB74.75.76.47.A	C10	ccsbBroad304_99985
OAB74.75.76.47.A	C11	ccsbBroad304_16125
OAB74.75.76.47.A	C12	ccsbBroad304_10716
OAB74.75.76.47.A	C13	ccsbBroad304_00320
OAB74.75.76.47.A	C14	ccsbBroad304_00336
OAB74.75.76.47.A	C15	ccsbBroad304_10195
OAB74.75.76.47.A	C16	ccsbBroad304_13719
OAB74.75.76.47.A	C17	ccsbBroad304_04353
OAB74.75.76.47.A	C18	ccsbBroad304_03879
OAB74.75.76.47.A	C19	ccsbBroad304_08123
OAB74.75.76.47.A	C20	ccsbBroad304_06967
OAB74.75.76.47.A	C21	ccsbBroad304_13054
OAB74.75.76.47.A	C22	ccsbBroad304_05578
OAB74.75.76.47.A	C23	ccsbBroad304_08661
OAB74.75.76.47.A	C24	ccsbBroad304_99994
OAB74.75.76.47.A	D01	ccsbBroad304_07782
OAB74.75.76.47.A	D02	ccsbBroad304_09758
OAB74.75.76.47.A	D03	BAD CONSTRUCT
OAB74.75.76.47.A	D04	ccsbBroad304_09116
OAB74.75.76.47.A	D05	ccsbBroad304_08327
OAB74.75.76.47.A	D06	ccsbBroad304_04359
OAB74.75.76.47.A	D07	ccsbBroad304_08498
OAB74.75.76.47.A	D08	ccsbBroad304_16163
OAB74.75.76.47.A	D09	ccsbBroad304_08168
OAB74.75.76.47.A	D10	ccsbBroad304_01202
OAB74.75.76.47.A	D11	ccsbBroad304_04411
OAB74.75.76.47.A	D12	ccsbBroad304_03829
OAB74.75.76.47.A	D13	ccsbBroad304_04037
OAB74.75.76.47.A	D14	ccsbBroad304_05682
OAB74.75.76.47.A	D15	ccsbBroad304_00463
OAB74.75.76.47.A	D16	ccsbBroad304_02193
OAB74.75.76.47.A	D17	
OAB74.75.76.47.A	D18	ccsbBroad304_10385
OAB74.75.76.47.A	D19	ccsbBroad304_11645
OAB74.75.76.47.A	D20	ccsbBroad304_15481
OAB74.75.76.47.A	D21	ccsbBroad304_05380
OAB74.75.76.47.A	D22	ccsbBroad304_15285
OAB74.75.76.47.A	D23	ccsbBroad304_04183
OAB74.75.76.47.A	D24	ccsbBroad304_01517
OAB74.75.76.47.A	E01	ccsbBroad304_13562
OAB74.75.76.47.A	E02	ccsbBroad304_12137
OAB74.75.76.47.A	E03	BAD CONSTRUCT
OAB74.75.76.47.A	E04	ccsbBroad304_10081
OAB74.75.76.47.A	E05	ccsbBroad304_15807
OAB74.75.76.47.A	E06	ccsbBroad304_01047
OAB74.75.76.47.A	E07	ccsbBroad304_13297
OAB74.75.76.47.A	E08	ccsbBroad304_10180
OAB74.75.76.47.A	E09	ccsbBroad304_11804
OAB74.75.76.47.A	E10	ccsbBroad304_01713
OAB74.75.76.47.A	E11	ccsbBroad304_15899
OAB74.75.76.47.A	E12	ccsbBroad304_10650
OAB74.75.76.47.A	E13	ccsbBroad304_10984
OAB74.75.76.47.A	E14	ccsbBroad304_00506
OAB74.75.76.47.A	E15	ccsbBroad304_01039
OAB74.75.76.47.A	E16	ccsbBroad304_02112
OAB74.75.76.47.A	E17	ccsbBroad304_09906
OAB74.75.76.47.A	E18	ccsbBroad304_11371
OAB74.75.76.47.A	E19	ccsbBroad304_99985
OAB74.75.76.47.A	E20	ccsbBroad304_05975
OAB74.75.76.47.A	E21	ccsbBroad304_99988
OAB74.75.76.47.A	E22	ccsbBroad304_12012
OAB74.75.76.47.A	E23	ccsbBroad304_07510
OAB74.75.76.47.A	E24	ccsbBroad304_09053
OAB74.75.76.47.A	F01	ccsbBroad304_11737
OAB74.75.76.47.A	F02	ccsbBroad304_06715
OAB74.75.76.47.A	F03	ccsbBroad304_99988
OAB74.75.76.47.A	F04	ccsbBroad304_00816
OAB74.75.76.47.A	F05	ccsbBroad304_02108
OAB74.75.76.47.A	F06	ccsbBroad304_10934
OAB74.75.76.47.A	F07	ccsbBroad304_15475
OAB74.75.76.47.A	F08	ccsbBroad304_05553
OAB74.75.76.47.A	F09	ccsbBroad304_12541
OAB74.75.76.47.A	F10	ccsbBroad304_11458
OAB74.75.76.47.A	F11	ccsbBroad304_99985
OAB74.75.76.47.A	F12	ccsbBroad304_99988
OAB74.75.76.47.A	F13	ccsbBroad304_01203
OAB74.75.76.47.A	F14	
OAB74.75.76.47.A	F15	ccsbBroad304_04688
OAB74.75.76.47.A	F16	ccsbBroad304_08745
OAB74.75.76.47.A	F17	ccsbBroad304_08576
OAB74.75.76.47.A	F18	ccsbBroad304_12562
OAB74.75.76.47.A	F19	ccsbBroad304_08914
OAB74.75.76.47.A	F20	ccsbBroad304_12824
OAB74.75.76.47.A	F21	ccsbBroad304_08709
OAB74.75.76.47.A	F22	ccsbBroad304_09808
OAB74.75.76.47.A	F23	ccsbBroad304_08969
OAB74.75.76.47.A	F24	ccsbBroad304_02595
OAB74.75.76.47.A	G01	ccsbBroad304_04168
OAB74.75.76.47.A	G02	ccsbBroad304_06206
OAB74.75.76.47.A	G03	ccsbBroad304_11362
