well_position	broad_sample	mmoles_per_liter	solvent
F20	BRD-K88510285-001-18-6	1.1111	DMSO
F21	BRD-K88510285-001-18-6	0.37037	DMSO
F22	BRD-K88510285-001-18-6	1.1111	DMSO
F23	BRD-K88510285-001-18-6	0.37037	DMSO
F24	BRD-K88510285-001-18-6	1.1111	DMSO
G01			DMSO
G02	BRD-K88510285-001-18-6	0.12346	DMSO
G03			DMSO
G04	BRD-K88510285-001-18-6	0.12346	DMSO
G05			DMSO
G06	BRD-K88510285-001-18-6	0.12346	DMSO
G07			DMSO
G08	BRD-K88510285-001-18-6	0.12346	DMSO
G09			DMSO
G10	BRD-K88510285-001-18-6	0.12346	DMSO
G11			DMSO
G12	BRD-K88510285-001-18-6	0.12346	DMSO
G13			DMSO
G14	BRD-K88510285-001-18-6	0.12346	DMSO
G15			DMSO
G16	BRD-K88510285-001-18-6	0.12346	DMSO
G17			DMSO
G18	BRD-K88510285-001-18-6	0.12346	DMSO
G19			DMSO
G20	BRD-K88510285-001-18-6	0.12346	DMSO
G21			DMSO
G22	BRD-K88510285-001-18-6	0.12346	DMSO
G23			DMSO
G24	BRD-K88510285-001-18-6	0.12346	DMSO
H01	BRD-K88510285-001-18-6	0.37037	DMSO
H02	BRD-K88510285-001-18-6	1.1111	DMSO
H03	BRD-K88510285-001-18-6	0.37037	DMSO
H04	BRD-K88510285-001-18-6	1.1111	DMSO
H05	BRD-K88510285-001-18-6	0.37037	DMSO
H06	BRD-K88510285-001-18-6	1.1111	DMSO
H07	BRD-K88510285-001-18-6	0.37037	DMSO
H08	BRD-K88510285-001-18-6	1.1111	DMSO
H09	BRD-K88510285-001-18-6	0.37037	DMSO
H10	BRD-K88510285-001-18-6	1.1111	DMSO
H11	BRD-K88510285-001-18-6	0.37037	DMSO
H12	BRD-K88510285-001-18-6	1.1111	DMSO
H13	BRD-K88510285-001-18-6	0.37037	DMSO
H14	BRD-K88510285-001-18-6	1.1111	DMSO
H15	BRD-K88510285-001-18-6	0.37037	DMSO
H16	BRD-K88510285-001-18-6	1.1111	DMSO
H17	BRD-K88510285-001-18-6	0.37037	DMSO
H18	BRD-K88510285-001-18-6	1.1111	DMSO
H19	BRD-K88510285-001-18-6	0.37037	DMSO
H20	BRD-K88510285-001-18-6	1.1111	DMSO
H21	BRD-K88510285-001-18-6	0.37037	DMSO
H22	BRD-K88510285-001-18-6	1.1111	DMSO
H23	BRD-K88510285-001-18-6	0.37037	DMSO
H24	BRD-K88510285-001-18-6	1.1111	DMSO
I01			DMSO
I02	BRD-K88510285-001-18-6	0.12346	DMSO
I03			DMSO
I04	BRD-K88510285-001-18-6	0.12346	DMSO
I05			DMSO
I06	BRD-K88510285-001-18-6	0.12346	DMSO
I07			DMSO
I08	BRD-K88510285-001-18-6	0.12346	DMSO
I09			DMSO
I10	BRD-K88510285-001-18-6	0.12346	DMSO
I11			DMSO
I12	BRD-K88510285-001-18-6	0.12346	DMSO
I13			DMSO
I14	BRD-K88510285-001-18-6	0.12346	DMSO
I15			DMSO
I16	BRD-K88510285-001-18-6	0.12346	DMSO
I17			DMSO
I18	BRD-K88510285-001-18-6	0.12346	DMSO
I19			DMSO
I20	BRD-K88510285-001-18-6	0.12346	DMSO
I21			DMSO
I22	BRD-K88510285-001-18-6	0.12346	DMSO
I23			DMSO
I24	BRD-K88510285-001-18-6	0.12346	DMSO
J01	BRD-K88510285-001-18-6	0.37037	DMSO
J02	BRD-K88510285-001-18-6	1.1111	DMSO
J03	BRD-K88510285-001-18-6	0.37037	DMSO
J04	BRD-K88510285-001-18-6	1.1111	DMSO
J05	BRD-K88510285-001-18-6	0.37037	DMSO
J06	BRD-K88510285-001-18-6	1.1111	DMSO
J07	BRD-K88510285-001-18-6	0.37037	DMSO
J08	BRD-K88510285-001-18-6	1.1111	DMSO
J09	BRD-K88510285-001-18-6	0.37037	DMSO
J10	BRD-K88510285-001-18-6	1.1111	DMSO
J11	BRD-K88510285-001-18-6	0.37037	DMSO
J12	BRD-K88510285-001-18-6	1.1111	DMSO
J13	BRD-K88510285-001-18-6	0.37037	DMSO
J14	BRD-K88510285-001-18-6	1.1111	DMSO
J15	BRD-K88510285-001-18-6	0.37037	DMSO
J16	BRD-K88510285-001-18-6	1.1111	DMSO
J17	BRD-K88510285-001-18-6	0.37037	DMSO
J18	BRD-K88510285-001-18-6	1.1111	DMSO
J19	BRD-K88510285-001-18-6	0.37037	DMSO
J20	BRD-K88510285-001-18-6	1.1111	DMSO
J21	BRD-K88510285-001-18-6	0.37037	DMSO
J22	BRD-K88510285-001-18-6	1.1111	DMSO
J23	BRD-K88510285-001-18-6	0.37037	DMSO
J24	BRD-K88510285-001-18-6	1.1111	DMSO
K01			DMSO
K02	BRD-K88510285-001-18-6	0.12346	DMSO
K03			DMSO
K04	BRD-K88510285-001-18-6	0.12346	DMSO
K05			DMSO
K06	BRD-K88510285-001-18-6	0.12346	DMSO
K07			DMSO
K08	BRD-K88510285-001-18-6	0.12346	DMSO
K09			DMSO
K10	BRD-K88510285-001-18-6	0.12346	DMSO
K11			DMSO
K12	BRD-K88510285-001-18-6	0.12346	DMSO
K13			DMSO
K14	BRD-K88510285-001-18-6	0.12346	DMSO
K15			DMSO
K16	BRD-K88510285-001-18-6	0.12346	DMSO
K17			DMSO
K18	BRD-K88510285-001-18-6	0.12346	DMSO
K19			DMSO
K20	BRD-K88510285-001-18-6	0.12346	DMSO
K21			DMSO
K22	BRD-K88510285-001-18-6	0.12346	DMSO
K23			DMSO
K24	BRD-K88510285-001-18-6	0.12346	DMSO
L01	BRD-K88510285-001-18-6	0.37037	DMSO
L02	BRD-K88510285-001-18-6	1.1111	DMSO
L03	BRD-K88510285-001-18-6	0.37037	DMSO
L04	BRD-K88510285-001-18-6	1.1111	DMSO
L05	BRD-K88510285-001-18-6	0.37037	DMSO
L06	BRD-K88510285-001-18-6	1.1111	DMSO
L07	BRD-K88510285-001-18-6	0.37037	DMSO
L08	BRD-K88510285-001-18-6	1.1111	DMSO
L09	BRD-K88510285-001-18-6	0.37037	DMSO
L10	BRD-K88510285-001-18-6	1.1111	DMSO
L11	BRD-K88510285-001-18-6	0.37037	DMSO
L12	BRD-K88510285-001-18-6	1.1111	DMSO
L13	BRD-K88510285-001-18-6	0.37037	DMSO
L14	BRD-K88510285-001-18-6	1.1111	DMSO
L15	BRD-K88510285-001-18-6	0.37037	DMSO
L16	BRD-K88510285-001-18-6	1.1111	DMSO
L17	BRD-K88510285-001-18-6	0.37037	DMSO
L18	BRD-K88510285-001-18-6	1.1111	DMSO
L19	BRD-K88510285-001-18-6	0.37037	DMSO
L20	BRD-K88510285-001-18-6	1.1111	DMSO
L21	BRD-K88510285-001-18-6	0.37037	DMSO
L22	BRD-K88510285-001-18-6	1.1111	DMSO
L23	BRD-K88510285-001-18-6	0.37037	DMSO
L24	BRD-K88510285-001-18-6	1.1111	DMSO
M01			DMSO
M02	BRD-K88510285-001-18-6	0.12346	DMSO
M03			DMSO
M04	BRD-K88510285-001-18-6	0.12346	DMSO
M05			DMSO
M06	BRD-K88510285-001-18-6	0.12346	DMSO
M07			DMSO
M08	BRD-K88510285-001-18-6	0.12346	DMSO
M09			DMSO
M10	BRD-K88510285-001-18-6	0.12346	DMSO
M11			DMSO
M12	BRD-K88510285-001-18-6	0.12346	DMSO
M13			DMSO
M14	BRD-K88510285-001-18-6	0.12346	DMSO
M15			DMSO
M16	BRD-K88510285-001-18-6	0.12346	DMSO
M17			DMSO
M18	BRD-K88510285-001-18-6	0.12346	DMSO
M19			DMSO
M20	BRD-K88510285-001-18-6	0.12346	DMSO
M21			DMSO
M22	BRD-K88510285-001-18-6	0.12346	DMSO
M23			DMSO
M24	BRD-K88510285-001-18-6	0.12346	DMSO
N01	BRD-K88510285-001-18-6	0.37037	DMSO
N02	BRD-K88510285-001-18-6	1.1111	DMSO
N03	BRD-K88510285-001-18-6	0.37037	DMSO
N04	BRD-K88510285-001-18-6	1.1111	DMSO
N05	BRD-K88510285-001-18-6	0.37037	DMSO
N06	BRD-K88510285-001-18-6	1.1111	DMSO
N07	BRD-K88510285-001-18-6	0.37037	DMSO
N08	BRD-K88510285-001-18-6	1.1111	DMSO
N09	BRD-K88510285-001-18-6	0.37037	DMSO
N10	BRD-K88510285-001-18-6	1.1111	DMSO
N11	BRD-K88510285-001-18-6	0.37037	DMSO
N12	BRD-K88510285-001-18-6	1.1111	DMSO
N13	BRD-K88510285-001-18-6	0.37037	DMSO
N14	BRD-K88510285-001-18-6	1.1111	DMSO
N15	BRD-K88510285-001-18-6	0.37037	DMSO
N16	BRD-K88510285-001-18-6	1.1111	DMSO
N17	BRD-K88510285-001-18-6	0.37037	DMSO
N18	BRD-K88510285-001-18-6	1.1111	DMSO
N19	BRD-K88510285-001-18-6	0.37037	DMSO
N20	BRD-K88510285-001-18-6	1.1111	DMSO
N21	BRD-K88510285-001-18-6	0.37037	DMSO
N22	BRD-K88510285-001-18-6	1.1111	DMSO
N23	BRD-K88510285-001-18-6	0.37037	DMSO
N24	BRD-K88510285-001-18-6	1.1111	DMSO
O01			DMSO
O02	BRD-K88510285-001-18-6	0.12346	DMSO
O03			DMSO
O04	BRD-K88510285-001-18-6	0.12346	DMSO
O05			DMSO
O06	BRD-K88510285-001-18-6	0.12346	DMSO
O07			DMSO
O08	BRD-K88510285-001-18-6	0.12346	DMSO
O09			DMSO
O10	BRD-K88510285-001-18-6	0.12346	DMSO
O11			DMSO
O12	BRD-K88510285-001-18-6	0.12346	DMSO
O13			DMSO
O14	BRD-K88510285-001-18-6	0.12346	DMSO
O15			DMSO
O16	BRD-K88510285-001-18-6	0.12346	DMSO
O17			DMSO
O18	BRD-K88510285-001-18-6	0.12346	DMSO
O19			DMSO
O20	BRD-K88510285-001-18-6	0.12346	DMSO
O21			DMSO
O22	BRD-K88510285-001-18-6	0.12346	DMSO
O23			DMSO
O24	BRD-K88510285-001-18-6	0.12346	DMSO
P01	BRD-K88510285-001-18-6	0.37037	DMSO
P02	BRD-K88510285-001-18-6	1.1111	DMSO
P03	BRD-K88510285-001-18-6	0.37037	DMSO
P04	BRD-K88510285-001-18-6	1.1111	DMSO
P05	BRD-K88510285-001-18-6	0.37037	DMSO
P06	BRD-K88510285-001-18-6	1.1111	DMSO
P07	BRD-K88510285-001-18-6	0.37037	DMSO
P08	BRD-K88510285-001-18-6	1.1111	DMSO
P09	BRD-K88510285-001-18-6	0.37037	DMSO
P10	BRD-K88510285-001-18-6	1.1111	DMSO
P11	BRD-K88510285-001-18-6	0.37037	DMSO
P12	BRD-K88510285-001-18-6	1.1111	DMSO
P13	BRD-K88510285-001-18-6	0.37037	DMSO
P14	BRD-K88510285-001-18-6	1.1111	DMSO
P15	BRD-K88510285-001-18-6	0.37037	DMSO
P16	BRD-K88510285-001-18-6	1.1111	DMSO
P17	BRD-K88510285-001-18-6	0.37037	DMSO
P18	BRD-K88510285-001-18-6	1.1111	DMSO
P19	BRD-K88510285-001-18-6	0.37037	DMSO
P20	BRD-K88510285-001-18-6	1.1111	DMSO
P21	BRD-K88510285-001-18-6	0.37037	DMSO
P22	BRD-K88510285-001-18-6	1.1111	DMSO
P23	BRD-K88510285-001-18-6	0.37037	DMSO
P24	BRD-K88510285-001-18-6	1.1111	DMSO
