Assay_Plate_Barcode,Plate_Map_Name
BR00126061,control
BR00121427,JUMP-Target-2_compound_platemap
BR00126060,OAB13.14.15.16.A
BR00126057,OAB13.14.15.16.A
BR00126058,OAB13.14.15.16.A
BR00126059,OAB13.14.15.16.A
BR00126056,OAB13.14.15.16.A
BR00126055,OAB49.OAA94.95.96.A
BR00126054,OAB49.OAA94.95.96.A
BR00126053,OAB49.OAA94.95.96.A
BR00126052,OAB49.OAA94.95.96.A
BR00126051,OAB49.OAA94.95.96.A
BR00126045,OAB74.75.76.47.A
BR00126044,OAB74.75.76.47.A
BR00126043,OAB74.75.76.47.A
BR00124791,OAB74.75.76.47.A
BR00124790,OAB74.75.76.47.A
BR00126050,OAB88.89.90.91.A
BR00126049,OAB88.89.90.91.A
BR00126048,OAB88.89.90.91.A
BR00126047,OAB88.89.90.91.A
BR00126046,OAB88.89.90.91.A
