Batch_Name	Plate_Name	Well_Count	Images_per_site	Sites_per_well_Median	Sites_per_well_mad
2021_04_26_Batch1	BR00117035	384	8	9	0.0
2021_04_26_Batch1	BR00117036	384	8	9	0.0
2021_04_26_Batch1	BR00117037	384	8	9	0.0
2021_04_26_Batch1	BR00117038	384	8	9	0.0
2021_04_26_Batch1	BR00117039	384	8	9	0.0
2021_04_26_Batch1	BR00117040	384	8	9	0.0
2021_04_26_Batch1	BR00117041	384	8	9	0.0
2021_04_26_Batch1	BR00121438	384	8	9	0.000
2021_04_26_Batch1	BR00121439	384	8	9	0.000
2021_04_26_Batch1	BR00121537	384	8	9	0.0
2021_04_26_Batch1	BR00121538	384	8	9	0.0
2021_04_26_Batch1	BR00121539	384	8	9	0.0
2021_04_26_Batch1	BR00121540	384	8	9	0.0
2021_04_26_Batch1	BR00121541	384	8	9	0.0
2021_04_26_Batch1	BR00121557	384	8	9	0.0
2021_04_26_Batch1	BR00121558	384	8	9	0.0
2021_04_26_Batch1	BR00121559	384	8	9	0.0
2021_04_26_Batch1	BR00121560	384	8	9	0.0
2021_04_26_Batch1	BR00121561	384	8	9	0.0
2021_04_26_Batch1	BR00121562	384	8	9	0.0
2021_04_26_Batch1	BR00121563	384	8	9	0.01
2021_04_26_Batch1	BR00121564	384	8	9	0.0
2021_04_26_Batch1	BR00121565	384	8	9	0.0
2021_04_26_Batch1	BR00121566	384	8	9	0.0
2021_05_10_Batch3	BR00121436	384	8	9	0.000
2021_05_10_Batch3	BR00123506	384	8	9	0.0
2021_05_10_Batch3	BR00123507	384	8	9	0.0
2021_05_10_Batch3	BR00123532	384	8	9	0.0
2021_05_10_Batch3	BR00123613	384	8	9	0.0
2021_05_10_Batch3	BR00123614	384	8	9	0.0
2021_05_10_Batch3	BR00123615	384	8	9	0.0
2021_05_10_Batch3	BR00123616	384	8	9	0.0
2021_05_10_Batch3	BR00123617	384	8	9	0.0
2021_05_10_Batch3	BR00123618	384	8	9	0.0
2021_05_10_Batch3	BR00123619	384	8	9	0.0
2021_05_10_Batch3	BR00123620	384	8	9	0.0
2021_05_10_Batch3	BR00123621	384	8	9	0.0
2021_05_10_Batch3	BR00123622	384	8	9	0.0
2021_05_10_Batch3	BR00123623	384	8	9	0.0
2021_05_10_Batch3	BR00123624	384	8	9	0.0
2021_05_10_Batch3	BR00123625	384	8	9	0.0
2021_05_10_Batch3	BR00123626	384	8	9	0.0
2021_05_10_Batch3	BR00123627	384	8	9	0.0
2021_05_10_Batch3	BR00123628	384	8	9	0.0
2021_05_10_Batch3	BR00123629	384	8	9	0.0
2021_05_10_Batch3	BR00123630	384	8	9	0.0
2021_05_17_Batch4	BR00121425	384	8	9	0.000
2021_05_17_Batch4	BR00123509	384	8	9	0.0
2021_05_17_Batch4	BR00123510	384	8	9	0.0
2021_05_17_Batch4	BR00123511	384	8	9	0.0
2021_05_17_Batch4	BR00123512	384	8	9	0.0
2021_05_17_Batch4	BR00123513	384	8	9	0.0
2021_05_17_Batch4	BR00123514	384	8	9	0.0
2021_05_17_Batch4	BR00123515	384	8	9	0.0
2021_05_17_Batch4	BR00123516	384	8	9	0.0
2021_05_17_Batch4	BR00123517	384	8	9	0.0
2021_05_17_Batch4	BR00123518	384	8	9	0.0
2021_05_17_Batch4	BR00123519	384	8	9	0.0
2021_05_17_Batch4	BR00123520	384	8	9	0.0
2021_05_17_Batch4	BR00123521	384	8	9	0.0
2021_05_17_Batch4	BR00123522	384	8	9	0.0
2021_05_17_Batch4	BR00123785	384	8	9	0.0
2021_05_17_Batch4	BR00123786	384	8	9	0.0
2021_05_17_Batch4	BR00123787	384	8	9	0.0
2021_05_17_Batch4	BR00123788	384	8	9	0.0
2021_05_17_Batch4	BR00123789	384	8	9	0.0
2021_05_17_Batch4	BR00123790	384	8	9	0.0
2021_05_17_Batch4	BR00123791	384	8	9	0.0
2021_05_31_Batch2	BR00121437	384	8	9	0.000
2021_05_31_Batch2	BR00121543	384	8	9	0.0
2021_05_31_Batch2	BR00121544	384	8	9	0.0
2021_05_31_Batch2	BR00121545	384	8	9	0.0
2021_05_31_Batch2	BR00121546	384	8	9	0.0
2021_05_31_Batch2	BR00121547	384	8	9	0.0
2021_05_31_Batch2	BR00121548	384	8	9	0.0
2021_05_31_Batch2	BR00121549	384	8	9	0.0
2021_05_31_Batch2	BR00121550	384	8	9	0.0
2021_05_31_Batch2	BR00121551	384	8	9	0.0
2021_05_31_Batch2	BR00121552	384	8	9	0.0
2021_05_31_Batch2	BR00121553	384	8	9	0.0
2021_05_31_Batch2	BR00121554	384	8	9	0.0
2021_05_31_Batch2	BR00121555	384	8	9	0.0
2021_05_31_Batch2	BR00121556	384	8	9	0.0
2021_05_31_Batch2	BR00123525	384	8	9	0.0
2021_05_31_Batch2	BR00123526	384	8	9	0.0
2021_05_31_Batch2	BR00123527	384	8	9	0.0
2021_05_31_Batch2	BR00123528B	384	8	9	0.0
2021_05_31_Batch2	BR00123529	384	8	9	0.0
2021_05_31_Batch2	BR00123530	384	8	9	0.0
2021_05_31_Batch2	BR00123531	384	8	9	0.0
2021_06_07_Batch5	BR00121430	384	8	9	0.000
2021_06_07_Batch5	BR00123946	384	8	9	0.0
2021_06_07_Batch5	BR00123947	384	8	9	0.0
2021_06_07_Batch5	BR00123948	384	8	9	0.0
2021_06_07_Batch5	BR00123949	384	8	9	0.0
2021_06_07_Batch5	BR00123950	384	8	9	0.0
2021_06_07_Batch5	BR00123951	384	8	9	0.0
2021_06_07_Batch5	BR00123952	384	8	9	0.0
2021_06_07_Batch5	BR00123953	384	8	9	0.0
2021_06_07_Batch5	BR00123954	384	8	9	0.0
2021_06_07_Batch5	BR00123955	384	8	9	0.0
2021_06_07_Batch5	BR00123956	384	8	9	0.0
2021_06_07_Batch5	BR00123957	384	8	9	0.0
2021_06_07_Batch5	BR00123958	384	8	9	0.0
2021_06_07_Batch5	BR00123959	384	8	9	0.0
2021_06_07_Batch5	BR00123960	384	8	9	0.0
2021_06_07_Batch5	BR00123961	384	8	9	0.0
2021_06_07_Batch5	BR00123962	384	8	9	0.0
2021_06_07_Batch5	BR00123963	384	8	9	0.0
2021_06_07_Batch5	BR00123964	384	8	9	0.0
2021_06_07_Batch5	BR00123965	384	8	9	0.0
2021_06_07_Batch5	BR00123966	384	8	9	0.0
2021_06_14_Batch6	BR00121429	384	8	9	0.000
2021_06_14_Batch6	BR00123945	384	8	9	0.0
2021_06_14_Batch6	BR00124761	384	8	9	0.01
2021_06_14_Batch6	BR00124766	384	8	9	0.0
2021_06_14_Batch6	BR00124767	384	8	9	0.031
2021_06_14_Batch6	BR00124768	384	8	9	0.0
2021_06_14_Batch6	BR00124769	384	8	9	0.0
2021_06_14_Batch6	BR00124770	384	8	9	0.0
2021_06_14_Batch6	BR00124771	384	8	9	0.0
2021_06_14_Batch6	BR00124772	384	8	9	0.0
2021_06_14_Batch6	BR00124773	384	8	9	0.0
2021_06_14_Batch6	BR00124774	384	8	9	0.026
2021_06_14_Batch6	BR00124775	384	8	9	0.0
2021_06_14_Batch6	BR00124776	384	8	9	0.0
2021_06_14_Batch6	BR00124777	384	8	9	0.0
2021_06_14_Batch6	BR00124778	384	8	9	0.0
2021_06_14_Batch6	BR00124779	384	8	9	0.0
2021_06_21_Batch7	BR00121424	384	8	9	0.000
2021_06_21_Batch7	BR00124784	384	8	9	0.0
2021_06_21_Batch7	BR00124785	384	8	9	0.0
2021_06_21_Batch7	BR00125162	384	8	9	0.0
2021_06_21_Batch7	BR00125163	384	8	9	0.0
2021_06_21_Batch7	BR00125164	384	8	9	0.0
2021_06_21_Batch7	BR00125165	384	8	9	0.0
2021_06_21_Batch7	BR00125166	384	8	9	0.0
2021_06_21_Batch7	BR00125167	384	8	9	0.0
2021_06_21_Batch7	BR00125168	384	8	9	0.0
2021_06_21_Batch7	BR00125169	384	8	9	0.0
2021_06_21_Batch7	BR00125170	384	8	9	0.0
2021_06_21_Batch7	BR00125171	384	8	9	0.0
2021_06_21_Batch7	BR00125172	384	8	9	0.0
2021_06_21_Batch7	BR00125173	384	8	9	0.0
2021_06_21_Batch7	BR00125174	384	8	9	0.0
2021_06_21_Batch7	BR00125175	384	8	9	0.0
2021_06_21_Batch7	BR00125176	384	8	9	0.0
2021_06_21_Batch7	BR00125177	384	8	9	0.0
2021_06_21_Batch7	BR00125178	384	8	9	0.0
2021_06_21_Batch7	BR00125179	384	8	9	0.0
2021_06_21_Batch7	BR00125180	384	8	9	0.0
2021_07_12_Batch8	BR00121428	384	8	9	0.000
2021_07_12_Batch8	BR00123523	384	8	9	0.0
2021_07_12_Batch8	BR00123524	384	8	9	0.0
2021_07_12_Batch8	BR00124787	384	8	9	0.0
2021_07_12_Batch8	BR00124788	384	8	9	0.0
2021_07_12_Batch8	BR00125181	384	8	9	0.0
2021_07_12_Batch8	BR00125619	383	8	9	0.0
2021_07_12_Batch8	BR00125620	384	8	9	0.0
2021_07_12_Batch8	BR00125621	384	8	9	0.0
2021_07_12_Batch8	BR00125622	384	8	9	0.0
