plate_map_name	well_position	broad_sample
OAA09.10.11.12.A	A01	ccsbBroad304_12376
OAA09.10.11.12.A	A02	
OAA09.10.11.12.A	A03	ccsbBroad304_03842
OAA09.10.11.12.A	A04	ccsbBroad304_00179
OAA09.10.11.12.A	A05	ccsbBroad304_11098
OAA09.10.11.12.A	A06	ccsbBroad304_15626
OAA09.10.11.12.A	A07	ccsbBroad304_10212
OAA09.10.11.12.A	A08	ccsbBroad304_12605
OAA09.10.11.12.A	A09	ccsbBroad304_11173
OAA09.10.11.12.A	A10	ccsbBroad304_07169
OAA09.10.11.12.A	A11	ccsbBroad304_01556
OAA09.10.11.12.A	A12	ccsbBroad304_07164
OAA09.10.11.12.A	A13	ccsbBroad304_01394
OAA09.10.11.12.A	A14	ccsbBroad304_12575
OAA09.10.11.12.A	A15	ccsbBroad304_01392
OAA09.10.11.12.A	A16	ccsbBroad304_11235
OAA09.10.11.12.A	A17	ccsbBroad304_12481
OAA09.10.11.12.A	A18	ccsbBroad304_01795
OAA09.10.11.12.A	A19	ccsbBroad304_01395
OAA09.10.11.12.A	A20	ccsbBroad304_99991
OAA09.10.11.12.A	A21	ccsbBroad304_01611
OAA09.10.11.12.A	A22	ccsbBroad304_10493
OAA09.10.11.12.A	A23	ccsbBroad304_06847
OAA09.10.11.12.A	A24	ccsbBroad304_01813
OAA09.10.11.12.A	B01	ccsbBroad304_04135
OAA09.10.11.12.A	B02	ccsbBroad304_02137
OAA09.10.11.12.A	B03	ccsbBroad304_01970
OAA09.10.11.12.A	B04	ccsbBroad304_04522
OAA09.10.11.12.A	B05	ccsbBroad304_01852
OAA09.10.11.12.A	B06	ccsbBroad304_99988
OAA09.10.11.12.A	B07	ccsbBroad304_11253
OAA09.10.11.12.A	B08	ccsbBroad304_02279
OAA09.10.11.12.A	B09	ccsbBroad304_99988
OAA09.10.11.12.A	B10	ccsbBroad304_99985
OAA09.10.11.12.A	B11	ccsbBroad304_09118
OAA09.10.11.12.A	B12	ccsbBroad304_14027
OAA09.10.11.12.A	B13	ccsbBroad304_11283
OAA09.10.11.12.A	B14	ccsbBroad304_99994
OAA09.10.11.12.A	B15	ccsbBroad304_04309
OAA09.10.11.12.A	B16	ccsbBroad304_07501
OAA09.10.11.12.A	B17	ccsbBroad304_04271
OAA09.10.11.12.A	B18	ccsbBroad304_99991
OAA09.10.11.12.A	B19	ccsbBroad304_04396
OAA09.10.11.12.A	B20	ccsbBroad304_04496
OAA09.10.11.12.A	B21	
OAA09.10.11.12.A	B22	ccsbBroad304_02157
OAA09.10.11.12.A	B23	ccsbBroad304_09195
OAA09.10.11.12.A	B24	ccsbBroad304_14019
OAA09.10.11.12.A	C01	ccsbBroad304_08880
OAA09.10.11.12.A	C02	ccsbBroad304_01822
OAA09.10.11.12.A	C03	ccsbBroad304_08768
OAA09.10.11.12.A	C04	ccsbBroad304_01818
OAA09.10.11.12.A	C05	BAD CONSTRUCT
OAA09.10.11.12.A	C06	ccsbBroad304_07167
OAA09.10.11.12.A	C07	
OAA09.10.11.12.A	C08	ccsbBroad304_04046
OAA09.10.11.12.A	C09	ccsbBroad304_01605
OAA09.10.11.12.A	C10	ccsbBroad304_04115
OAA09.10.11.12.A	C11	ccsbBroad304_01610
OAA09.10.11.12.A	C12	ccsbBroad304_07153
OAA09.10.11.12.A	C13	ccsbBroad304_11149
OAA09.10.11.12.A	C14	ccsbBroad304_11240
OAA09.10.11.12.A	C15	ccsbBroad304_12414
OAA09.10.11.12.A	C16	ccsbBroad304_01793
OAA09.10.11.12.A	C17	ccsbBroad304_12390
OAA09.10.11.12.A	C18	ccsbBroad304_07141
OAA09.10.11.12.A	C19	ccsbBroad304_01484
OAA09.10.11.12.A	C20	
OAA09.10.11.12.A	C21	ccsbBroad304_03982
OAA09.10.11.12.A	C22	ccsbBroad304_01821
OAA09.10.11.12.A	C23	ccsbBroad304_11094
OAA09.10.11.12.A	C24	ccsbBroad304_07125
OAA09.10.11.12.A	D01	ccsbBroad304_12853
OAA09.10.11.12.A	D02	ccsbBroad304_12934
OAA09.10.11.12.A	D03	ccsbBroad304_01855
OAA09.10.11.12.A	D04	
OAA09.10.11.12.A	D05	ccsbBroad304_07473
OAA09.10.11.12.A	D06	ccsbBroad304_00240
OAA09.10.11.12.A	D07	ccsbBroad304_01951
OAA09.10.11.12.A	D08	ccsbBroad304_99988
OAA09.10.11.12.A	D09	ccsbBroad304_12810
OAA09.10.11.12.A	D10	ccsbBroad304_99991
OAA09.10.11.12.A	D11	BAD CONSTRUCT
OAA09.10.11.12.A	D12	ccsbBroad304_02102
OAA09.10.11.12.A	D13	ccsbBroad304_09001
OAA09.10.11.12.A	D14	
OAA09.10.11.12.A	D15	ccsbBroad304_12819
OAA09.10.11.12.A	D16	ccsbBroad304_11393
OAA09.10.11.12.A	D17	ccsbBroad304_09226
OAA09.10.11.12.A	D18	ccsbBroad304_02139
OAA09.10.11.12.A	D19	ccsbBroad304_01927
OAA09.10.11.12.A	D20	ccsbBroad304_09319
OAA09.10.11.12.A	D21	ccsbBroad304_04431
OAA09.10.11.12.A	D22	ccsbBroad304_99988
OAA09.10.11.12.A	D23	ccsbBroad304_04227
OAA09.10.11.12.A	D24	ccsbBroad304_11386
OAA09.10.11.12.A	E01	ccsbBroad304_11152
OAA09.10.11.12.A	E02	ccsbBroad304_01845
OAA09.10.11.12.A	E03	BAD CONSTRUCT
OAA09.10.11.12.A	E04	ccsbBroad304_04095
OAA09.10.11.12.A	E05	ccsbBroad304_12437
OAA09.10.11.12.A	E06	ccsbBroad304_11201
OAA09.10.11.12.A	E07	ccsbBroad304_07030
OAA09.10.11.12.A	E08	ccsbBroad304_01819
OAA09.10.11.12.A	E09	ccsbBroad304_10699
OAA09.10.11.12.A	E10	ccsbBroad304_07066
OAA09.10.11.12.A	E11	ccsbBroad304_04001
OAA09.10.11.12.A	E12	ccsbBroad304_08935
OAA09.10.11.12.A	E13	ccsbBroad304_15561
OAA09.10.11.12.A	E14	ccsbBroad304_01832
OAA09.10.11.12.A	E15	ccsbBroad304_01561
OAA09.10.11.12.A	E16	BAD CONSTRUCT
OAA09.10.11.12.A	E17	ccsbBroad304_01607
OAA09.10.11.12.A	E18	ccsbBroad304_99985
OAA09.10.11.12.A	E19	ccsbBroad304_03888
OAA09.10.11.12.A	E20	ccsbBroad304_01709
OAA09.10.11.12.A	E21	ccsbBroad304_11095
OAA09.10.11.12.A	E22	ccsbBroad304_13984
OAA09.10.11.12.A	E23	
